# Training sentences for Whisper fine-tuning
# Categories: [Щ] [MIX] [UA] [IT] [NUM]
# Format: CATEGORY | sentence

# ═══════════════════════════════════════════════════════
# [Щ] — Слова з "щ" у різних позиціях (~100 речень)
# ═══════════════════════════════════════════════════════

Щ | Ще раз перевір цей файл, будь ласка.
Щ | Найбільще навантаження о дев'ятій ранку.
Щ | Повідомлення ще не доставлене адресату.
Щ | Щоб уникнути конфліктів, роби рібейз.
Щ | Існующе рішення не підходить для нашого випадку.
Щ | Ще вчора це працювало без проблем.
Щ | Щотижня ми проводимо стендап о десятій.
Щ | Нещодавно знайшли баг у продакшені.
Щ | Найміцніще з'єднання забезпечує цей протокол.
Щ | Щовечора бекапи створюються автоматично.
Щ | Ще не вирішили, яку базу даних обрати.
Щ | Що стосується безпеки, потрібен аудит.
Щ | Вищезгаданий метод вже застарілий.
Щ | Щонайменше три людини повинні це перевірити.
Щ | Якщо щось зламається, відкатуємо на попередню версію.
Щ | Ще раз: не забудь оновити документацію.
Щ | Що відбувається на сервері номер п'ять?
Щ | Хоча щось і працює, але продуктивність низька.
Щ | Щоб не було конфліктів, синхронізуй гілку.
Щ | Площадка для тестування вже розгорнута.
Щ | Могутніще ядро процесора в новому сервері.
Щ | Потужніще середовище потрібне для збирання.
Щ | Щойно закінчив рев'ю твого пул-реквесту.
Щ | Що за дивна помилка у логах?
Щ | Ще одне питання щодо архітектури.
Щ | Щоб не загубити зміни, зроби стеш.
Щ | Нащо дублювати код у двох місцях?
Щ | Найпростіще рішення зазвичай найкраще.
Щ | Ще б пак, адже ми над цим працювали місяць.
Щ | Щоб запустити тести, виконай цю команду.
Щ | Що за залежність ти додав у проєкт?
Щ | Щоправда, варто спробувати інший підхід.
Щ | Нещодавно перейшли на нову версію фреймворку.
Щ | Ще потрібно налаштувати моніторинг.
Щ | Що трапилося з базою даних учора ввечері?
Щ | Щільний розклад не дозволяє відволікатися.
Щ | Навіщо встановлювати застарілу версію?
Щ | Ще трохи і закінчимо цей спринт.
Щ | Що саме потрібно виправити у цьому компоненті?
Щ | Щоб все працювало, додай змінну середовища.
Щ | Найвищий пріоритет має цей тікет.
Щ | Ще один варіант — використати черги повідомлень.
Щ | Що буде, якщо сервер впаде під навантаженням?
Щ | Щоб це виправити, потрібна міграція бази.
Щ | Взагалі-то ще потрібно додати валідацію.
Щ | Нащо ускладнювати те, що може бути простим?
Щ | Щодня ми деплоїмо нову версію.
Щ | Ще один реліз до кінця місяця.
Щ | Що за виняток виникає при обробці запиту?
Щ | Щоб прискорити, додай кешування.
Щ | Найщиріші вітання з успішним релізом.
Щ | Ще раз перевір конфігурацію перед деплоєм.
Щ | Що показує графік навантаження?
Щ | Якщо що, є можливість відкатити зміни.
Щ | Щасливого завершення проєкту!
Щ | Ще не встигли протестувати на продакшені.
Щ | Що за проблема із сертифікатом?
Щ | Щоб логи були читабельними, додай форматування.
Щ | Нещодавно виявлена вразливість уже виправлена.
Щ | Загальна площа серверної — двадцять квадратних метрів.

# ═══════════════════════════════════════════════════════
# [MIX] — Мікс UK+EN технічні (~100 речень)
# ═══════════════════════════════════════════════════════

MIX | Зроби commit і push на main branch.
MIX | Потрібно зробити deploy на staging сервер.
MIX | Перевір pull request номер сто двадцять три.
MIX | Створи нову branch від develop.
MIX | Зроби merge цієї branch в main.
MIX | Запусти docker compose up і перевір логи.
MIX | API повертає помилку чотириста четвертий.
MIX | Потрібно оновити package.json залежності.
MIX | Додай middleware для авторизації.
MIX | Подивись на dashboard, є алерти.
MIX | Потрібно налаштувати CI/CD pipeline.
MIX | Kubernetes pod постійно рестартується.
MIX | Перевір endpoint на наявність SQL injection.
MIX | Запусти unit tests перед merge.
MIX | Зроби cherry-pick коміту з release branch.
MIX | Налаштуй load balancer для нового сервісу.
MIX | Webhook не спрацьовує при push event.
MIX | Потрібен code review перед merge в main.
MIX | Подивись README, там є інструкція.
MIX | Nginx reverse proxy потрібно перенаправити.
MIX | Зроби stash своїх змін перед rebase.
MIX | Docker image зібрався, але контейнер падає.
MIX | Перевір GitHub Actions, build впав.
MIX | Потрібно додати environment variables.
MIX | Запусти migration на production базі.
MIX | GraphQL query повертає null замість даних.
MIX | Cache потрібно інвалідувати після update.
MIX | Відкрий issue на GitHub з описом бага.
MIX | Frontend і backend деплояться окремо.
MIX | REST API потрібно задокументувати в Swagger.
MIX | Redis connection timeout, перевір конфігурацію.
MIX | Зроби rollback деплою на попередню версію.
MIX | WebSocket з'єднання обривається через таймаут.
MIX | Потрібно додати rate limiting на API.
MIX | Terraform plan показує зміни в інфраструктурі.
MIX | Зроби backup бази перед migration.
MIX | Prometheus metrics показують високий latency.
MIX | Потрібно оптимізувати SQL query, займає секунд десять.
MIX | S3 bucket policy забороняє public access.
MIX | Lambda function виконується занадто довго.
MIX | Kubernetes ingress не маршрутизує трафік.
MIX | Додай health check endpoint для моніторингу.
MIX | JWT token протухає занадто швидко.
MIX | gRPC сервіс не відповідає на запити.
MIX | Потрібно налаштувати auto-scaling.
MIX | Feature flag для нового функціоналу.
MIX | Hotfix потрібно деплоїти терміново.
MIX | Sprint review завтра о другій.
MIX | Backlog потрібно пріоритезувати.
MIX | Technical debt росте, потрібен рефакторинг.
MIX | Зроби fork цього repository.
MIX | Pull request отримав approve від двох ревюерів.
MIX | Branch protection rule не дозволяє force push.
MIX | Continuous integration тести впали.
MIX | Debugging показує, що проблема в async callback.
MIX | Потрібно profile цей endpoint, він повільний.
MIX | React component рендериться двічі.
MIX | TypeScript type error в інтерфейсі.
MIX | ESLint знайшов попередження в коді.
MIX | Webpack bundle занадто великий.
MIX | NPM audit показує вразливості.
MIX | Git conflict у файлі конфігурації.
MIX | Deploy на staging пройшов успішно.
MIX | Performance test показує деградацію.
MIX | Logging рівня debug занадто багатослівний.
MIX | Exception handling потрібно покращити.
MIX | Microservice architecture для цього не підходить.
MIX | Container memory limit потрібно збільшити.
MIX | Session storage переповнюється.
MIX | OAuth flow потрібно переробити.
MIX | Cron job не запускається по розкладу.
MIX | Message queue переповнена, consumer не встигає.
MIX | DNS record потрібно оновити.
MIX | SSL certificate скоро протухне.
MIX | Firewall rule блокує трафік.
MIX | VPN tunnel нестабільний.
MIX | Зроби squash commits перед merge.
MIX | Python virtual environment потрібно пересоздати.
MIX | Pip install завершився з помилкою.
MIX | CUDA driver потрібно оновити.
MIX | GPU memory leak у training loop.
MIX | Model checkpoint зберігся успішно.
MIX | TensorBoard показує, що loss знижується.
MIX | Batch size потрібно зменшити, не вистачає VRAM.
MIX | Learning rate scheduler потрібно налаштувати.
MIX | Dataset preprocessing займає занадто довго.
MIX | Fine-tuning whisper моделі на кастомних даних.
MIX | Inference pipeline оптимізований для CUDA.
MIX | HuggingFace model hub має потрібну модель.
MIX | LoRA adapter зменшує кількість параметрів.
MIX | Quantization знижує використання пам'яті.
MIX | Validation loss почав зростати, потрібен early stopping.
MIX | Tokenizer потрібно перетренувати.
MIX | Attention mask неправильно сформований.
MIX | Gradient accumulation допомагає з малим batch size.
MIX | Mixed precision training прискорює навчання.
MIX | Wandb logging для відстеження експериментів.
MIX | Pre-trained model завантажується з кешу.
MIX | Evaluation metrics покращились після fine-tuning.
MIX | Data augmentation підвищує якість моделі.

# ═══════════════════════════════════════════════════════
# [UA] — Побутова українська (~100 речень)
# ═══════════════════════════════════════════════════════

UA | Привіт, як справи сьогодні?
UA | Добрий ранок, готовий до роботи.
UA | Дякую за допомогу, дуже вдячний.
UA | Будь ласка, передай це колегам.
UA | Сьогодні прекрасна погода надворі.
UA | Завтра маємо важливу нараду.
UA | Вчора було дуже багато роботи.
UA | Потрібно купити каву, закінчилася.
UA | Обід буде о першій годині.
UA | Зачекай хвилинку, зараз подивлюся.
UA | Все добре, працюю над завданням.
UA | Не розумію, що саме ти маєш на увазі.
UA | Можеш повторити, я не розчув?
UA | Гаразд, зроблю це до кінця дня.
UA | На жаль, не встигаю до дедлайну.
UA | Мабуть, варто зробити перерву.
UA | Чудово, саме це і потрібно було.
UA | Перепрошую за затримку з відповіддю.
UA | Все зрозуміло, починаю працювати.
UA | Домовились, побачимось завтра.
UA | Чи можеш ти мені допомогти з цим?
UA | Здається, я знайшов проблему.
UA | Певний, що це правильне рішення.
UA | Зовсім забув про зустріч о третій.
UA | Треба передзвонити клієнту.
UA | Записав, не забуду.
UA | Добре, тоді робимо як домовились.
UA | Результат мене цілком влаштовує.
UA | Вибач, помилився з розрахунками.
UA | Ось тут потрібно внести правки.
UA | Подивись, чи все правильно.
UA | Не впевнений, що це найкращий варіант.
UA | Зверни увагу на цей момент.
UA | Давай обговоримо це пізніше.
UA | Який у тебе план на сьогодні?
UA | Маю кілька ідей, хочу обговорити.
UA | Це складне завдання, але ми впораємося.
UA | Залишилось зовсім небагато роботи.
UA | Працюю віддалено з дому сьогодні.
UA | Інтернет трохи повільний, вибачте.
UA | Мікрофон працює нормально, чуєте мене?
UA | Камеру увімкнути чи без відео?
UA | Презентацію підготував, можу показати.
UA | Звіт буде готовий до п'ятниці.
UA | Нарада затягнулася, вибачте за спізнення.
UA | Чай чи кава, що будеш пити?
UA | Сьогодні холодно, мінус десять градусів.
UA | Вечеря буде о сьомій годині.
UA | Треба вигуляти собаку після роботи.
UA | Вихідні планую відпочити, без роботи.
UA | Книжку дочитав, дуже цікава.
UA | Замовлення доставлять завтра вранці.
UA | Потрібно заплатити за комунальні послуги.
UA | Дорога зайняла дві години через затори.
UA | Ключі забув вдома, повернуся пізніше.
UA | Спокійної ночі, до завтра.
UA | Все буде добре, не хвилюйся.
UA | Гарного дня тобі і продуктивної роботи.
UA | Їхати на метро чи замовити таксі?
UA | Магазин закривається о дев'ятій вечора.
UA | Сходи зачинені, використовуй ліфт.
UA | Потрібно подзвонити сантехніку, кран тече.
UA | Квитки на потяг уже замовлені.
UA | Мусимо встигнути до відправлення.
UA | Документи передані в бухгалтерію.
UA | Зарплата прийде п'ятнадцятого числа.
UA | Відпустку планую на серпень.
UA | Лікарняний закрито, виходжу на роботу.
UA | Зустріч перенесена на наступний тиждень.
UA | Трафік на сайті зріс удвічі.
UA | Клієнт задоволений результатом.
UA | Треба оновити портфоліо на сайті.
UA | Пароль потрібно змінити, він застарів.
UA | Принтер не друкує, мабуть закінчився тонер.
UA | Батарея ноутбука тримає лише дві години.
UA | Зарядку забув на роботі, привезу завтра.
UA | Навушники нові дуже зручні для роботи.
UA | Монітор другий потрібно підключити через адаптер.
UA | Стіл потрібно організувати, все розкидано.
UA | Рослини на підвіконні потрібно полити.
UA | Світло на кухні перегоріло, треба замінити.
UA | Кондиціонер працює занадто голосно.
UA | Опалення увімкнули, нарешті тепло.
UA | Вікно потрібно відчинити, душно.
UA | Пилосос зламався, потрібно новий.
UA | Сусіди зверху роблять ремонт.
UA | Паркування біля офісу завжди зайняте.
UA | Ліфт не працює, доведеться йти сходами.
UA | Обід замовив з доставки, буде за тридцять хвилин.
UA | Домашнє завдання вже зроблене.
UA | Рецепт знайшов в інтернеті, спробую приготувати.
UA | Фільм був цікавий, раджу подивитися.
UA | Музику слухаю поки працюю, допомагає зосередитися.
UA | Спорт після роботи — найкращий відпочинок.
UA | Ранкова пробіжка заряджає енергією на весь день.
UA | Велосипед потрібно відремонтувати перед літом.
UA | Бібліотека закрита до понеділка.
UA | Аптека працює цілодобово, можна зайти пізно.
UA | Перукарню записали на суботу зранку.

# ═══════════════════════════════════════════════════════
# [IT] — IT команди і пояснення (~100 речень)
# ═══════════════════════════════════════════════════════

IT | Перезапусти сервіс і перевір статус.
IT | Перевір логи за останню годину.
IT | Потрібно збільшити обсяг диска.
IT | Бекап бази данних зроблений успішно.
IT | Змінити конфігурацію і перезавантажити.
IT | Тести проходять на локальній машині.
IT | Сервер відповідає занадто повільно.
IT | Потрібно оновити операційну систему.
IT | Домен потрібно продовжити на рік.
IT | Сертифікат безпеки потрібно оновити.
IT | Міграція даних зайняла три години.
IT | Репліка бази відстає на п'ять хвилин.
IT | Балансувальник навантаження розподіляє трафік.
IT | Моніторинг показує високе використання процесора.
IT | Пам'ять сервера заповнена на дев'яносто відсотків.
IT | Мережевий інтерфейс потрібно перенастроїти.
IT | Файрвол блокує вхідні з'єднання.
IT | Порт вісімдесят зайнятий іншим процесом.
IT | Протокол передачі даних потрібно змінити.
IT | Шифрування даних увімкнене за замовчуванням.
IT | Аутентифікація двофакторна увімкнена.
IT | Авторизація через токени працює правильно.
IT | Сесія користувача закінчилася.
IT | Кеш потрібно очистити після оновлення.
IT | Індекси бази даних потрібно перебудувати.
IT | Запит до бази виконується занадто довго.
IT | Транзакція відкатилася через помилку.
IT | Дедлок виник між двома процесами.
IT | Пул з'єднань переповнений.
IT | Черга повідомлень переповнена.
IT | Обробник подій не встигає за потоком.
IT | Лог файл зріс до десяти гігабайт.
IT | Ротація логів потрібна щоденно.
IT | Архів старих логів зберігається на окремому диску.
IT | Серверна кімната потребує кращого охолодження.
IT | Джерело безперебійного живлення потрібно замінити.
IT | Мережевий кабель пошкоджений, потрібна заміна.
IT | Маршрутизатор перезавантажили, мережа відновилась.
IT | Комутатор потрібно оновити до нової прошивки.
IT | Хмарний сервіс дешевший за власний сервер.
IT | Віртуальна машина споживає занадто багато ресурсів.
IT | Контейнеризація спрощує розгортання додатків.
IT | Оркестрація контейнерів автоматизована.
IT | Інфраструктура як код спрощує управління.
IT | Автоматизація тестування економить багато часу.
IT | Код покритий тестами на вісімдесят відсотків.
IT | Інтеграційні тести перевіряють взаємодію компонентів.
IT | Навантажувальне тестування виявило вузьке місце.
IT | Стресовий тест показав межу в тисячу запитів.
IT | Профілювання коду показує де витрачається час.
IT | Рефакторинг зменшив складність коду вдвічі.
IT | Документація оновлена відповідно до змін.
IT | Архітектура мікросервісів вимагає ретельного планування.
IT | Монолітний додаток потрібно розбити на сервіси.
IT | Черга завдань обробляє фонові процеси.
IT | Планувальник задач запускає процеси за розкладом.
IT | Система сповіщень працює через електронну пошту.
IT | Панель керування показує основні метрики.
IT | Графіки відображають динаміку навантаження.
IT | Аналітика збирає дані про поведінку користувачів.
IT | Звітність генерується автоматично щомісяця.
IT | Резервне копіювання виконується щоночі.
IT | Відновлення з бекапу зайняло тридцять хвилин.
IT | Версіонування коду дозволяє відстежувати зміни.
IT | Гілка розробки відрізняється від головної.
IT | Конфлікт при злитті потрібно вирішити вручну.
IT | Рецензія коду виявила потенційну проблему.
IT | Збірка проєкту займає п'ятнадцять хвилин.
IT | Артефакт збирання публікується в реєстр.
IT | Залежність потрібно оновити до останньої версії.
IT | Вразливість виявлена у старій версії бібліотеки.
IT | Патч безпеки вже встановлений.
IT | Оновлення системи потрібно запланувати на ніч.
IT | Даунтайм не повинен перевищувати п'яти хвилин.
IT | Відмовостійкість забезпечується дублюванням серверів.
IT | Масштабування горизонтальне працює автоматично.
IT | Навантаження розподіляється між трьома серверами.
IT | Час відгуку сторінки менше двохсот мілісекунд.
IT | Стиснення даних зменшує трафік на тридцять відсотків.
IT | Оптимізація зображень прискорює завантаження.
IT | Кешування на стороні клієнта зменшує навантаження.
IT | Мінімізація коду зменшує розмір файлів.
IT | Збірка для продакшену оптимізована.
IT | Середовище розробки відрізняється від продакшену.
IT | Тестове середовище відтворює продакшен.
IT | Конфігурація зберігається у змінних середовища.
IT | Секрети зберігаються в захищеному сховищі.
IT | Логін через соціальні мережі налаштований.
IT | Двофакторна аутентифікація обов'язкова для адмінів.
IT | Роль адміністратора має повний доступ.
IT | Обмеження по кількості запитів запобігає зловживанню.
IT | Журнал аудиту фіксує всі дії користувачів.
IT | Резервний канал зв'язку активується автоматично.
IT | Технічна підтримка працює цілодобово.
IT | Інцидент вирішений, послуга відновлена.
IT | Постмортем проведено, висновки задокументовано.
IT | Поліпшення внесені для запобігання повторення.
IT | Система моніторингу надіслала сповіщення.
IT | Алерт спрацював через перевищення порогу.

# ═══════════════════════════════════════════════════════
# [NUM] — Числа, дати, назви (~100 речень)
# ═══════════════════════════════════════════════════════

NUM | Сьогодні шосте лютого дві тисячі двадцять шостого року.
NUM | Зустріч о десятій тридцять ранку.
NUM | Температура плюс п'ять градусів Цельсія.
NUM | Сервер працює вже тридцять два дні без перезавантаження.
NUM | Вартість проєкту двадцять п'ять тисяч доларів.
NUM | Версія три точка чотирнадцять точка два.
NUM | Порт вісім тисяч вісімдесят зайнятий.
NUM | IP адреса: сто дев'яносто два точка сто шістдесят вісім точка п'ятдесят точка один.
NUM | Файл важить триста двадцять мегабайт.
NUM | Оперативна пам'ять шістнадцять гігабайт.
NUM | Швидкість завантаження сто мегабіт на секунду.
NUM | Затримка п'ять мілісекунд до сервера.
NUM | Процесор завантажений на сімдесят п'ять відсотків.
NUM | Диск заповнений на вісімдесят дев'ять відсотків.
NUM | Двадцять три активних з'єднання до бази.
NUM | Запит виконується за двісті п'ятдесят мілісекунд.
NUM | Дев'яносто дев'ять і дев'ять десятих відсотків доступності.
NUM | Чотириста четвертий код помилки — сторінка не знайдена.
NUM | П'ятисотий код — внутрішня помилка сервера.
NUM | Двохсотий код — запит успішний.
NUM | Триста перенаправлення на іншу адресу.
NUM | Тисяча двадцять чотири байти в одному кілобайті.
NUM | Один мільйон записів у таблиці.
NUM | Сто п'ятдесят тисяч унікальних відвідувачів.
NUM | Три мільярди транзакцій на рік.
NUM | Перший квартал закінчується тридцять першого березня.
NUM | Фіскальний рік починається першого січня.
NUM | Звіт за четвертий квартал готовий.
NUM | Бюджет на наступний рік затверджений.
NUM | Тринадцяте грудня — дата релізу.
NUM | Реліз запланований на п'ятнадцяте число.
NUM | Спринт тривалістю два тижні.
NUM | Ретроспектива кожні чотири тижні.
NUM | Команда складається з восьми розробників.
NUM | Три фронтенд і п'ять бекенд розробників.
NUM | Два тестувальники і один девопс.
NUM | Проєкт розпочався першого вересня.
NUM | Дедлайн тридцятого червня.
NUM | Затримка на три робочих дні.
NUM | П'ятнадцять годин різниця з Каліфорнією.
NUM | Зустріч о шостій вечора за київським часом.
NUM | Робочий день з дев'ятої до шостої.
NUM | Обідня перерва з першої до другої.
NUM | Сорок годин на тиждень — стандартний робочий час.
NUM | Двадцять чотири робочих дні відпустки на рік.
NUM | Стаж роботи п'ять років і три місяці.
NUM | Зарплата виплачується п'ятого і двадцятого числа.
NUM | Курс долара тридцять сім гривень п'ятдесят копійок.
NUM | Євро коштує сорок одну гривню.
NUM | Біткоїн вартує сто тисяч доларів.
NUM | Номер телефону: плюс тридцять вісім нуль шістдесят сім.
NUM | Поштовий індекс: нуль один нуль нуль один.
NUM | Серійний номер: A B C тире сто двадцять три тире X Y Z.
NUM | Модель RTX 5070 Ti з шістнадцятьма гігабайтами VRAM.
NUM | Процесор має вісім ядер і шістнадцять потоків.
NUM | Тактова частота чотири і п'ять десятих гігагерц.
NUM | Споживання двісті п'ятдесят ват.
NUM | Блок живлення на вісімсот п'ятдесят ват.
NUM | Монітор двадцять сім дюймів із роздільністю два кей.
NUM | Частота оновлення сто сорок чотири герци.
NUM | Клавіатура з механічними перемикачами.
NUM | Час відгуку один мілісекунд.
NUM | Ємність SSD два терабайти.
NUM | Швидкість читання сім тисяч мегабайт на секунду.
NUM | Кількість записів у логах: двісті тисяч за годину.
NUM | Середній час відповіді сервера: п'ятдесят мілісекунд.
NUM | Пікове навантаження: десять тисяч запитів на секунду.
NUM | Розмір бази даних: п'ятсот гігабайт.
NUM | Індекс займає двадцять гігабайт.
NUM | Кеш розміром чотири гігабайти.
NUM | Час збирання проєкту: дванадцять хвилин тридцять секунд.
NUM | Покриття тестами: вісімдесят п'ять відсотків.
NUM | Кількість рядків коду: триста тисяч.
NUM | Залежностей: сто двадцять три пакети.
NUM | Розмір Docker образу: один і два десятих гігабайта.
NUM | Час деплою: три хвилини п'ятнадцять секунд.
NUM | Аптайм: тридцять днів, чотири години, п'ятнадцять хвилин.
NUM | Кількість помилок за тиждень: сімнадцять.
NUM | Середній час вирішення інциденту: сорок п'ять хвилин.
NUM | Кількість активних користувачів: двадцять три тисячі.
NUM | Конверсія: три і сім десятих відсотка.
NUM | Відмова сервера стається раз на тисячу годин.
NUM | Ширина каналу: десять гігабіт на секунду.
NUM | Затримка між дата-центрами: вісімнадцять мілісекунд.
NUM | Резервний канал: один гігабіт на секунду.
NUM | Кількість віртуальних машин: сорок вісім.
NUM | Кожна машина має чотири ядра і вісім гігабайт пам'яті.
NUM | Загальна ємність кластера: триста ядер.
NUM | Вільного місця залишилось двісті гігабайт.
NUM | Рейд масив із шести дисків по чотири терабайти.
NUM | Загальний об'єм: двадцять чотири терабайти.
NUM | Корисний об'єм: двадцять терабайт.
NUM | Температура в серверній: двадцять два градуси.
NUM | Вологість: сорок п'ять відсотків.
NUM | Споживання серверної: п'ятнадцять кіловат.
NUM | Рахунок за електрику: вісім тисяч гривень на місяць.
NUM | Контракт на три роки із щорічним продовженням.
NUM | Знижка десять відсотків при оплаті за рік.
NUM | Перша версія продукту вийшла у двадцять двадцять другому.
NUM | За п'ять років компанія виросла до ста працівників.
NUM | Оцінка компанії: п'ять мільйонів доларів.
NUM | Інвестиції склали півтора мільйона.
